group,meancong1,CorrectM1,RT1match1,CorrectNonM1,RT1non1,CorrectM0,RT1match0,CorrectNonM0,RT1nonmat0
1,2.462186,26,1163,19,1349,11,1265,20,1150
1,2.671307131,16,1062,14,1214,15,547,11,726
1,2.616900143,24,651,13,1140,21,549,19,918
1,2.68589869,21,756,8,886,12,310,0,613
1,2.660211143,33,794,29,1039,32,668,29,793
1,2.878615226,29,686,4,1113,30,690,0,598
1,2.648961786,13,828,12,780,19,682,22,872
1,2.781191,23,834,8,1213,13,1042,9,1031
1,2.452681,30,644,29,641,28,490,32,462
1,2.739710226,33,502,32,775,31,539,32,712
1,2.839357607,8,1122,4,1281,19,1127,9,1176
1,3.154427,25,978,10,1167,19,934,17,1106
1,2.735458595,17,741,0,921,29,628,0,1250
1,2.733087274,29,985,29,1128,30,861,29,1093
1,2.616900143,18,655,27,1284,30,613,9,1030
1,2.839357607,25,802,26,973,28,619,28,757
1,3.002856214,33,600,30,921,31,616,31,696
1,2.781190583,24,634,8,1066,31,508,14,1138
1,2.330452131,33,557,9,1012,30,469,9,837
1,2.533901976,31,1117,32,1054,32,779,30,760
1,2.46218631,32,561,30,597,32,514,32,675
1,2.721086274,25,795.6379,19,903.1429,31,1090,28,1166
1,2.84384281,25,1102,24,1349,25,1059,20,1133
1,2.914543083,28,977,25,1153,15,1065,25,1075
1,2.381088571,32,1058,31,1053,32,755,32,854
1,2.80104767,30,910,25,1033,30,627,30,838
1,2.563202,27,725,21,724,26,501,20,541
1,2.420416214,31,846,32,824,30,523,32,613
1,2.86971669,21,959,22,1247,19,1095,29,750
1,2.750817226,32,561,30,597,32,514,32,675
1,2.564022131,32,800,28,782,11,1063,30,694
1,2.592248869,30,793,18,1043,27,801,8,801
1,2.781190583,21,634,9,790,30,578,13,915
1,2.739710226,28,729,26,1072,26,736,29,847
1,2.803309,27,796,22,890,27,712,21,768
1,2.967314107,27,1084,26,1050,31,904,30,1013
1,2.642825262,14,904,4,844,31,844,3,1179
1,2.78855119,33,693,32,737,30,617,31,678
1,2.616900143,18,721,5,962,25,676,31,480
1,2.467506536,13,991,20,928,27,857,31,882
1,2.719085398,33,717,30,682,31,583,32,565
1,2.564022131,18,1163,8,1171,20,981,19,1104
1,2.508287214,30,442,31,493,31,510,32,598
