group,meancong1,menincong,reactiontime,falsincong,falsecong,totalfalse
1,2.462186,3.170375,2.8162805,12,5,17
1,2.671307131,2.675888202,2.673597667,4,0,4
1,2.616900143,3.146113607,2.881506875,6,1,7
1,2.68589869,2.674727024,2.680312857,3,1,4
1,2.660211143,2.665668631,2.662939887,6,0,6
1,2.878615226,2.943130417,2.910872821,4,0,4
1,2.648961786,2.677278083,2.663119935,2,1,3
1,2.781191,2.881741786,2.831466393,4,0,4
1,2.452681,2.435917,2.444299,2,0,2
1,2.739710226,2.652034798,2.695872512,3,1,4
1,2.839357607,2.675888202,2.757622905,2,4,6
1,3.154427,2.293121,2.723774,9,4,13
1,2.735458595,3.170375405,2.952917,3,1,4
1,2.733087274,2.869669214,2.801378244,4,1,5
1,2.616900143,2.73284881,2.674874476,2,1,3
1,2.839357607,2.881741786,2.860549696,4,2,6
1,3.002856214,2.278207012,2.640531613,6,2,8
1,2.781190583,2.784937809,2.783064196,4,3,7
1,2.330452131,2.508949452,2.419700792,9,4,13
1,2.533901976,2.662443833,2.598172905,10,5,15
1,2.46218631,2.73284881,2.59751756,7,3,10
1,2.721086274,2.837367119,2.779226696,1,0,1
1,2.84384281,2.887581214,2.865712012,5,2,7
1,2.914543083,3.177151214,3.045847149,2,5,7
1,2.381088571,3.186190286,2.783639429,2,2,4
1,2.80104767,2.959609475,2.880328572,10,1,11
1,2.563202,2.505542,2.534372,5,2,7
1,2.420416214,2.5387565,2.479586357,13,1,14
1,2.86971669,2.803031845,2.836374268,2,3,5
1,2.750817226,2.796111976,2.773464601,13,5,18
1,2.564022131,2.681265607,2.622643869,4,0,4
1,2.592248869,2.732268619,2.662258744,1,4,5
1,2.781190583,2.834739857,2.80796522,5,0,5
1,2.739710226,2.652034798,2.695872512,10,1,11
1,2.803309,2.853759,2.828534,5,2,7
1,2.967314107,2.83131469,2.899314399,1,0,1
1,2.642825262,2.881741786,2.762283524,3,0,3
1,2.78855119,2.692085179,2.740318185,1,1,2
1,2.616900143,2.73284881,2.674874476,7,3,10
1,2.467506536,2.742501333,2.605003935,9,3,12
1,2.719085398,2.959609475,2.839347436,5,5,10
1,2.564022131,2.73284881,2.64843547,4,5,9
1,2.508287214,2.468645048,2.488466131,12,4,16
1,3.118543841,3.182334,3.150438921,8,4,12
1,2.452191,2.454431,2.453311,1,0,1
1,2.515707012,2.531395655,2.523551333,4,2,6
1,2.6420715,2.709750774,2.675911137,3,2,5
1,2.628806643,2.703561726,2.666184185,8,2,10
1,2.628806643,2.703561726,2.666184185,12,2,16
1,2.430648131,2.458237345,2.444442738,5,0,5
1,2.286930917,2.504585107,2.395758012,2,1,3
1,2.520483881,2.553300369,2.536892125,4,0,4
1,3.004625952,3.007281262,3.005953607,4,2,6
1,3.035198345,2.8991465,2.967172423,4,0,4
1,3.009783417,2.652034798,2.830909107,3,2,5
1,2.772728964,2.618077119,2.695403042,9,5,14
1,2.189783417,2.529316667,2.359550042,3,2,5
1,2.677531913,2.784937809,2.731234861,7,2,9
1,2.3304,2.4582,2.3943,1,0,1
2,3.573539,2.612217,3.092878,15,11,26
2,2.872901619,2.82317275,2.848037185,4,1,5
2,3.204753,2.676543036,2.940648018,2,0,2
2,2.573539024,2.43678,2.505159512,1,0,1
2,3.273539024,3.01861255,3.146075787,1,0,1
2,2.623002,2.602859,2.6129305,1,0,1
2,3.2034202,3.67257,3.4379951,13,0,13
2,2.590413,2.54283,2.5666215,2,0,2
2,3.19364244,2.642001333,2.917821887,6,0,6
2,2.878615226,3.322147774,3.1003815,15,1,16
2,2.893515286,2.71102125,2.802268268,11,9,20
2,2.986238369,3.313736083,3.149987226,2,2,4
2,3.118906071,3.260226917,3.189566494,3,3,6
2,2.724088952,2.557965,2.641026976,10,3,13
2,2.975573119,3.321327512,3.148450315,7,4,11
2,2.526167905,3.612217107,3.069192506,3,4,7
2,3.187179155,3.322147774,3.254663464,3,1,4
2,2.834236024,2.979837881,2.907036952,15,10,25
2,3.166357762,3.272554238,3.219456,8,2,10
2,2.913211,3.13771,3.0254605,7,3,10
2,2.848967071,2.942013071,2.895490071,15,4,19
2,2.430648131,2.590166905,2.510407518,2,9,11
2,2.871887107,3.318296524,3.095091815,0,1,1
2,2.887799488,3.060934905,2.974367196,0,5,5
2,2.527509262,2.724273119,2.62589119,3,5,8
2,2.607152262,2.590166905,2.598659583,17,7,24
2,3.364984024,3.424245774,3.394614899,7,3,10
2,2.6230018,2.602852,2.6129269,1,6,7
2,3.181305,3.526244,3.3537745,12,6,18
2,2.781190583,2.834739857,2.80796522,13,10,23
2,3.30052969,3.284391095,3.292460393,9,5,14
2,2.93645402,2.834739857,2.885596939,10,1,11
2,2.559472179,2.83131469,2.695393435,19,6,25
2,3.58464,3.01861255,3.301626275,19,6,25
2,2.559472179,2.679987714,2.619729946,4,1,5
2,2.569252524,2.720966155,2.645109339,3,1,4
2,3.118906071,3.189566494,3.154236283,7,6,13
2,3.102031,3.57146,3.3367455,14,7,21
